Town_county,pd_dept_plus_county,slug_pd,pd_dept,county,coverage_city,footnotes,footnotes_about_race,total_rows_2012,total_rows_2013,total_rows_2014,total_rows_2015,total_rows_2016,total_rows_2012_2016,total_incidents_2012,total_incidents_2013,total_incidents_2014,total_incidents_2015,total_incidents_2016,total_incidents_2012_2016,total_arrests_2012,total_arrests_2013,total_arrests_2014,total_arrests_2015,total_arrests_2016,total_arrests_2012_2016,rate_incidents_per_arrests_2012_2016,rank_rate_incidents_per_arrests_2012_2016,white_pct_subjects,black_pct_subjects,hispanic_pct_subjects,asian_pacific_islander_pct_subjects,white_arrests_pct_2012_2016,black_arrests_pct_2012_2016,api_arrests_pct_2012_2016,white_pct_officers,black_pct_officers,hispanic_pct_officers,asian_pacific_islander_pct_officers,pctwhite_adjpop,pctblack_adjpop,pcthisp_adjpop,pctasian_adjpop,odds_ratio_pop,odds_ratio_arrests,officers_involved_in_incidents,incidents_per_officer,total_complaince_hold,total_hands_fists,total_pepper_spray,total_baton,total_leg_strikes,total_deadly_force,total_take_down,pct_complaince_hold,pct_hands_fists,pct_pepper_spray,pct_baton,pct_leg_strikes,pct_take_down,pct_deadly_force,total_resisted_police,total_physical_attack,total_knife_attack,total_blunt_attack,total_gun_threat,total_gun_fire,total_attack_car,pct_resisted_police,pct_physical_attack,pct_knife_attack,pct_blunt_attack,pct_gun_threat,pct_gun_fire,pct_car_attack,pct_officers_injured,pct_subjects_injured,avg_police_employees_2012_2016,nyc_ofc_count,la_ofc_count,chi_ofc_count
"Hazlet, Monmouth County","Hazlet, Monmouth",hazlet-monmouth,Hazlet,Monmouth,Hazlet,,,14,12,24,22,37,109,12,7,13,13,12,57,596,634,711,995,1028,3964,14.37941473,369,92.1875,6.25,1.5625,0,87.790111,11.25126135,0.655903128,90.82568807,0,0.917431193,0,84.1044215,2.9180619,8.843026,3.5467778,1.729320843,0.528995972,36,3.027777778,100,15,2,0,3,0,0,91.74311927,13.76146789,1.834862385,0,2.752293578,0,0,106,30,0,0,3,0,1,97.24770642,27.52293578,0,0,2.752293578,0,0.917431193,3.669724771,9.523809524,39,12,0,13
"Helmetta, Middlesex County","Helmetta, Middlesex",helmetta-middlesex,Helmetta,Middlesex,Helmetta,This police department said it no longer had access to records from 2012 because it switched computer systems. Helmetta disbanded its police force in early 2018 and is now patrolled by Spotswood police.,,0,4,3,7,9,23,0,4,3,6,9,22,101,65,96,68,74,404,54.45544554,40,77.27272727,13.63636364,4.545454545,4.545454545,84.65346535,11.88118812,2.227722772,100,0,0,0,73.7324703,4.3149946,10.2481122,10.7874865,,1.257352941,7,3.285714286,18,12,0,1,0,0,0,78.26086957,52.17391304,0,4.347826087,0,0,0,20,4,0,0,0,0,0,86.95652174,17.39130435,0,0,0,0,0,8.695652174,0,6,2,1,2
"High Bridge, Hunterdon County","High Bridge, Hunterdon",high-bridge-hunterdon,High Bridge,Hunterdon,High Bridge,,,3,1,1,5,3,13,2,1,1,3,2,9,38,68,72,67,67,312,28.84615385,209,90,10,0,0,91.66666667,7.371794872,0.961538462,76.92307692,0,0,0,92.45142,1.8310912,3.7369208,1.980568,,1.381642512,5,2.6,12,3,1,0,0,0,0,92.30769231,23.07692308,7.692307692,0,0,0,0,9,7,0,0,0,0,0,69.23076923,53.84615385,0,0,0,0,0,7.692307692,30,6,4,0,4
"Highland Park, Middlesex County","Highland Park, Middlesex",highland-park-middlesex,Highland Park,Middlesex,Highland Park,,,4,17,19,29,20,89,3,7,5,14,10,39,256,238,209,165,177,1045,37.32057416,137,42,52,0,2,52.53588517,43.06220096,3.062200957,92.13483146,2.247191011,5.617977528,0,62.3705621,7.5073964,13.5447485,15.4863166,11.32892969,1.51047619,24,3.708333333,83,42,4,0,3,0,3,93.25842697,47.19101124,4.494382022,0,3.370786517,3.370786517,0,86,24,0,0,0,0,3,96.62921348,26.96629213,0,0,0,0,3.370786517,7.865168539,6.12244898,27,9,0,10
"Highlands Boro, Monmouth County","Highlands, Monmouth",highlands-monmouth,Highlands,Monmouth,Highlands,,,11,7,25,14,2,59,6,5,12,8,2,33,270,182,223,176,193,1044,31.6091954,181,91.89189189,2.702702703,5.405405405,0,93.8697318,5.747126437,0.383141762,3.389830508,0,0,0,88.4946517,1.9045134,6.1831464,0.9392121,2.630136986,0.480392157,18,3.277777778,56,12,0,1,0,0,0,94.91525424,20.33898305,0,1.694915254,0,0,0,56,24,0,1,1,0,1,94.91525424,40.6779661,0,1.694915254,1.694915254,0,1.694915254,13.55932203,8.333333333,14,8,0,8
"Hightstown, Mercer County","Hightstown, Mercer",hightstown-mercer,Hightstown,Mercer,Hightstown,,,3,18,15,7,11,54,3,18,12,6,8,47,209,249,292,213,225,1188,39.56228956,119,36.17021277,6.382978723,57.44680851,0,78.36700337,19.6969697,1.767676768,5.555555556,0,0,0,45.4545455,4.4935065,42.8311688,5.7662338,2.023121387,0.702111614,18,3,47,15,2,0,5,0,2,87.03703704,27.77777778,3.703703704,0,9.259259259,3.703703704,0,50,16,1,0,0,0,0,92.59259259,29.62962963,1.851851852,0,0,0,0,12.96296296,17.0212766,13,8,1,8
"Hillsborough, Somerset County","Hillsborough, Somerset",hillsborough-somerset,Hillsborough,Somerset,Hillsborough,,,39,26,33,23,31,152,24,15,19,16,21,95,686,677,622,514,538,3037,31.28086928,182,75.78947368,13.68421053,1.052631579,5.263157895,80.07902535,16.1343431,2.041488311,84.21052632,1.973684211,0,0,69.8328877,5.243984,7.4064171,15.665107,2.431756588,0.896145125,49,3.102040816,130,49,15,1,6,0,13,85.52631579,32.23684211,9.868421053,0.657894737,3.947368421,8.552631579,0,143,62,0,0,1,0,2,94.07894737,40.78947368,0,0,0.657894737,0,1.315789474,11.84210526,16.84210526,51,22,0,24
"Hillsdale, Bergen County","Hillsdale, Bergen",hillsdale-bergen,Hillsdale,Bergen,Hillsdale,,,3,5,1,0,8,17,2,4,1,0,7,14,136,140,106,82,132,596,23.48993289,266,64.28571429,21.42857143,0,0,89.4295302,7.382550336,2.852348993,47.05882353,0,0,0,80.7687192,1.5161591,10.6264131,6.556723,,4.037878788,13,1.307692308,14,6,0,0,0,0,0,82.35294118,35.29411765,0,0,0,0,0,13,7,0,0,2,0,0,76.47058824,41.17647059,0,0,11.76470588,0,0,5.882352941,28.57142857,18,6,0,6
"Hillside, Union County","Hillside, Union",hillside-union,Hillside,Union,Hillside,,,16,24,47,37,25,149,10,13,25,20,14,82,470,458,437,491,333,2189,37.46002741,136,16.27906977,75.58139535,5.813953488,0,27.08999543,72.36180905,0.502512563,0,0,0,0,18.5557092,56.3105045,18.1227828,2.7118033,1.752472941,1.738140332,41,3.634146341,120,36,16,1,5,0,4,80.53691275,24.16107383,10.73825503,0.67114094,3.355704698,2.684563758,0,135,41,0,1,0,0,3,90.60402685,27.51677852,0,0.67114094,0,0,2.013422819,10.73825503,30.95238095,64,29,3,29
"Ho-Ho-Kus, Bergen County","Ho-Ho-Kus, Bergen",ho-ho-kus-bergen,Ho-Ho-Kus,Bergen,Ho-Ho-Kus,,,0,0,5,5,2,12,0,0,4,1,2,7,40,40,46,48,40,214,32.71028037,169,90,10,0,0,83.64485981,8.411214953,3.738317757,66.66666667,0,33.33333333,0,83.5464915,0.0345662,9.3674386,4.2516419,,1.104938272,6,2,11,4,0,0,0,0,0,91.66666667,33.33333333,0,0,0,0,0,10,8,0,0,0,0,0,83.33333333,66.66666667,0,0,0,0,0,8.333333333,20,16,3,0,3
