Date,Open,High,Low,Close,Adj Close,Volume
14-Oct-13,"3,767.49","3,816.41","3,766.28","3,815.28","3,815.28","1,455,160,000"
11-Oct-13,"3,753.22","3,794.37","3,751.38","3,791.87","3,791.87","1,750,350,000"
10-Oct-13,"3,721.58","3,764.72","3,721.11","3,760.75","3,760.75","1,902,410,000"
9-Oct-13,"3,701.62","3,702.15","3,650.03","3,677.78","3,677.78","2,242,700,000"
8-Oct-13,"3,772.22","3,772.49","3,694.15","3,694.83","3,694.83","2,087,580,000"
7-Oct-13,"3,776.64","3,800.08","3,769.75","3,770.38","3,770.38","1,475,990,000"
4-Oct-13,"3,774.72","3,812.86","3,773.40","3,807.75","3,807.75","1,549,600,000"
3-Oct-13,"3,809.90","3,816.96","3,753.17","3,774.34","3,774.34","1,884,340,000"
2-Oct-13,"3,793.11","3,819.28","3,788.45","3,815.02","3,815.02","1,792,980,000"
1-Oct-13,"3,774.18","3,817.98","3,774.18","3,817.98","3,817.98","1,843,320,000"
30-Sep-13,"3,737.60","3,780.97","3,734.74","3,771.48","3,771.48","1,895,760,000"
27-Sep-13,"3,767.89","3,788.35","3,762.67","3,781.59","3,781.59","1,699,720,000"
26-Sep-13,"3,774.95","3,795.72","3,772.80","3,787.43","3,787.43","1,817,960,000"
25-Sep-13,"3,772.59","3,782.92","3,754.94","3,761.10","3,761.10","1,821,790,000"
24-Sep-13,"3,771.60","3,789.85","3,753.04","3,768.25","3,768.25","1,810,950,000"
23-Sep-13,"3,786.84","3,787.14","3,745.54","3,765.29","3,765.29","1,728,620,000"
20-Sep-13,"3,796.28","3,798.76","3,774.11","3,774.73","3,774.73","2,711,270,000"
19-Sep-13,"3,794.70","3,798.16","3,781.59","3,789.38","3,789.38","1,775,980,000"
18-Sep-13,"3,751.29","3,790.70","3,737.69","3,783.64","3,783.64","1,828,820,000"
17-Sep-13,"3,725.31","3,747.08","3,724.26","3,745.70","3,745.70","1,338,800,000"
